Record,Location,X,Y,Longitude,Latitude,Year,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type
1,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.70335,5021829.49630,-75.72644,45.33379,2017,2017-08-22,6:10:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
2,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365430.63705,5021830.43234,-75.72645,45.33380,2017,2017-10-19,12:20:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
3,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.70110,5021829.49510,-75.72644,45.33379,2017,2017-01-31,8:09:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
4,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.35217,5021829.48397,-75.72644,45.33379,2017,2017-03-24,10:45:00 AM,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
5,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365432.02107,5021829.48397,-75.72643,45.33379,2017,2017-04-04,12:30:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
6,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.70282,5021829.49619,-75.72644,45.33379,2017,2017-12-15,4:19:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,05 - Dusk,02 - Non-fatal injury,05 - Turning movement
7,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,368235.69760,5022055.97860,-75.69064,45.33558,2017,2017-01-10,8:34:00 PM,03 - Snow,05 - Packed snow,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
8,2ND LINE RD @ CABIN RD,375653.18807,5002682.34608,-75.59877,45.16056,2017,2017-11-20,9:57:00 AM,03 - Snow,06 - Ice,03 - Yield sign,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other
9,2ND LINE RD btwn OSGOODE MAIN ST & HUGH CRES,376117.45339,5001581.46051,-75.59302,45.15060,2017,2017-07-04,9:45:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
10,4TH LINE RD btwn FOREST RD & SPRINGHILL RD,379732.32137,5004332.33502,-75.54665,45.17498,2017,2017-06-03,4:38:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
11,4TH LINE RD btwn FOREST RD & SPRINGHILL RD,379995.18692,5003713.88753,-75.54339,45.16939,2017,2017-04-15,2:53:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
12,4TH LINE RD btwn MCDIARMID RD & BELMEADE RD,382056.29935,4998070.60888,-75.51805,45.11839,2017,2017-04-23,1:51:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
