surrogate_key,Location_ID,Street_Name,Intersection_1,Intersection_2,Longitude,Latitude
0,0,210 W OF MERIVALE RD,WEST HUNT CLUB RD,NA,-75.72644,45.33379
1,1,210 W OF MERIVALE RD,WEST HUNT CLUB RD,NA,-75.72645,45.3338
2,4,210 W OF MERIVALE RD,WEST HUNT CLUB RD,NA,-75.72643000000001,45.33379
3,6,225 E OF RIVERSIDE DR / T & T SC,HUNT CLUB RD,NA,-75.69064,45.33558
4,7,2ND LINE RD,CABIN RD,NA,-75.59877,45.16056
5,8,2ND LINE RD,OSGOODE MAIN ST,HUGH CRES,-75.59302,45.1506
6,9,4TH LINE RD,FOREST RD,SPRINGHILL RD,-75.54665,45.17498
7,10,4TH LINE RD,FOREST RD,SPRINGHILL RD,-75.54339,45.16939
8,11,4TH LINE RD,MCDIARMID RD,BELMEADE RD,-75.51805,45.118390000000005
9,12,8TH LINE RD,GLENWOOD DR,NA,-75.46741,45.225570000000005
10,13,8TH LINE RD,MITCH OWENS RD,NA,-75.51094,45.30464
11,14,8TH LINE RD,MITCH OWENS RD,NA,-75.51093,45.30464
12,15,8TH LINE RD,MITCH OWENS RD,NA,-75.51094,45.30467
13,17,8TH LINE RD,PARKWAY RD,NA,-75.50099,45.28761
14,18,8TH LINE RD,PARKWAY RD,NA,-75.50098,45.28761
15,19,8TH LINE RD,SPRINGHILL RD,NA,-75.45479,45.2012
16,20,8TH LINE RD,ANDREW SIMPSON DR,BRUCE ST,-75.475,45.2401
17,21,8TH LINE RD,COOPER HILL RD,FOREST GREEN CRES,-75.49016999999999,45.2688
18,22,8TH LINE RD,MARVELVILLE RD,LAWRENCE ST,-75.44466,45.182159999999996
19,23,8TH LINE RD,MITCH OWENS RD,RODNEY FARM DR,-75.50854,45.30075
20,24,8TH LINE RD,PANA RD,ANDREW SIMPSON DR,-75.48111999999999,45.25219
21,25,8TH LINE RD,PANA RD,ANDREW SIMPSON DR,-75.48001,45.24981
22,26,8TH LINE RD,SPRINGHILL RD,MARVELVILLE RD,-75.4537,45.19893
23,27,9TH LINE RD,VICTORIA ST,NA,-75.45121999999999,45.245059999999995
24,28,AARON AVE,CARLING AVE,LENESTER AVE,-75.76763000000001,45.37022
25,29,ABBEYHILL DR,CASTLEFRANK RD,NA,-75.88263,45.293620000000004
26,30,ABBEYHILL DR,EAGLESON RD,NA,-75.87485,45.30056
27,31,ABBEYHILL DR,SURREY LANE,NA,-75.87683,45.29994
28,32,ABBEYHILL DR,OLD COLONY RD,BALBAIR RD,-75.87916,45.29788
29,33,ABBEYHILL DR,SURREY LANE,EAGLESON RD,-75.8761,45.30022
30,34,ABBOTT ST,GRANITE RIDGE DR,NA,-75.90507,45.26831
31,35,ABBOTT ST,GRANITE RIDGE DR,NA,-75.90505999999999,45.26833
32,36,ABBOTT ST,IBER RD,NA,-75.89873,45.27228
33,37,ABBOTT ST,IBER RD,NA,-75.89871,45.27227
34,38,ABBOTT ST,SHEA RD,NA,-75.90926,45.26574
35,39,ABBOTT ST,STITTSVILLE MAIN ST,NA,-75.92088000000001,45.25847
36,40,ABBOTT ST,STITTSVILLE MAIN ST,NA,-75.92090999999999,45.25847
37,41,ABBOTT ST,STITTSVILLE MAIN ST,NA,-75.92092,45.25847
38,42,ABBOTT ST W,WEST RIDGE DR,NA,-75.92866,45.25359
39,43,ABERDEEN ST,PRESTON ST,NA,-75.70994,45.40128
40,44,ABERDEEN ST,PRESTON ST,NA,-75.70993,45.401270000000004
41,45,ABERFOYLE CIRC,Continuation of ABERFOYLE CIRC,Continuation of A,-75.91724,45.3551
42,46,ABERFOYLE CIRC,Continuation of ABERFOYLE CIRC,Continuation of A,-75.91679,45.35435
43,47,ABETTI RIDGE,ESPIN HTS,JOCKVALE RD,-75.73228,45.25862
44,48,ACACIA AVE,BEECHWOOD AVE,NA,-75.67121999999999,45.4424
45,49,ACACIA AVE,MARIPOSA AVE,NA,-75.67411,45.449059999999996
46,50,ACACIA AVE,ROCKCLIFFE PKWY,NA,-75.68293,45.45681
