"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-01","2020","01","01","","-24.0","","-29.9","","-27.0","","45.0","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-02","2020","01","02","","-21.9","","-36.9","","-29.4","","47.4","","0.0","","","","","","","","","","3","","50",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-03","2020","01","03","","-34.2","","-38.2","","-36.2","","54.2","","0.0","","","","","","","","","","","M","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-04","2020","01","04","","-29.6","","-34.8","","-32.2","","50.2","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-05","2020","01","05","","-29.8","","-34.8","","-32.3","","50.3","","0.0","","","","","","","","","","32","","54",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-06","2020","01","06","","","","","","","","","","","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-07","2020","01","07","","-25.0","","-30.3","","-27.6","","45.6","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-08","2020","01","08","","-26.3","","-33.1","","-29.7","","47.7","","0.0","","","","","","","","","","31","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-09","2020","01","09","","-29.7","","-34.1","","-31.9","","49.9","","0.0","","","","","","","","","","32","","42",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-10","2020","01","10","","-29.3","","-34.8","","-32.1","","50.1","","0.0","","","","","","","","","","29","","37",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-11","2020","01","11","","-25.8","","-32.7","","-29.3","","47.3","","0.0","","","","","","","","","","28","","42",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-12","2020","01","12","","-26.7","","-29.1","","-27.9","","45.9","","0.0","","","","","","","","","","33","","54",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-13","2020","01","13","","-26.7","","-30.2","","-28.5","","46.5","","0.0","","","","","","","","","","33","","50",""
