"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-01","2020","01","01","†","3.0","","-2.5","","0.3","","17.7","","0.0","","0.0","","0.0","T","0.0","","1","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-02","2020","01","02","†","6.5","","-3.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-03","2020","01","03","†","7.0","","3.0","","5.0","","13.0","","0.0","","0.0","","4.0","","1.6","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-04","2020","01","04","†","2.5","","-0.5","","1.0","","17.0","","0.0","","0.0","","0.6","","1.4","","4","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-05","2020","01","05","†","1.5","","-3.5","","-1.0","","19.0","","0.0","","0.0","","5.4","","4.8","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-06","2020","01","06","†","2.0","","-2.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-07","2020","01","07","†","4.0","","-7.5","","-1.8","","19.8","","0.0","","0.0","","0.8","","0.6","","3","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-08","2020","01","08","†","-3.5","","-7.0","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","","3","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-09","2020","01","09","†","6.5","","-13.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-01-10","2020","01","10","†","9.5","","-4.0","","2.8","","15.2","","0.0","","13.8","","0.0","","13.8","","0","T","","","",""
