surrogate_key,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-15,0.0,2.0,15.0,1.0,0.0,-1.0
1,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-16,11.0,10.0,35.0,8.0,-4.0,-3.0
2,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-17,-26.0,-45.0,49.0,-50.0,-76.0,17.0
3,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-18,-3.0,11.0,-2.0,1.0,-1.0,0.0
4,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-19,-1.0,3.0,-3.0,-2.0,0.0,1.0
5,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-20,2.0,5.0,2.0,-1.0,2.0,0.0
6,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-21,1.0,-1.0,20.0,2.0,-6.0,2.0
7,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-22,8.0,8.0,56.0,13.0,7.0,-1.0
8,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-23,9.0,7.0,64.0,13.0,3.0,-2.0
9,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-24,1.0,2.0,22.0,-2.0,1.0,0.0
10,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-25,1.0,5.0,5.0,2.0,1.0,0.0
11,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-26,-10.0,-7.0,-13.0,-7.0,-4.0,3.0
12,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-27,-8.0,-6.0,-13.0,-3.0,-3.0,3.0
13,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-28,-5.0,-1.0,-8.0,-1.0,0.0,1.0
14,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-02-29,3.0,8.0,16.0,3.0,7.0,-1.0
15,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-01,5.0,12.0,28.0,4.0,4.0,-1.0
16,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-02,0.0,6.0,2.0,0.0,3.0,0.0
17,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-03,-2.0,3.0,-4.0,1.0,3.0,0.0
18,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-04,3.0,5.0,3.0,0.0,2.0,0.0
19,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-05,4.0,10.0,24.0,2.0,-1.0,1.0
20,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-06,-4.0,-1.0,-4.0,-3.0,2.0,1.0
21,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-07,7.0,8.0,50.0,8.0,7.0,-1.0
22,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-08,8.0,9.0,102.0,8.0,3.0,-1.0
23,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-09,1.0,5.0,48.0,-3.0,1.0,1.0
24,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-10,-2.0,2.0,0.0,-5.0,0.0,1.0
25,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-11,-2.0,5.0,-2.0,-6.0,-1.0,2.0
26,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-12,-1.0,30.0,4.0,-8.0,-1.0,2.0
27,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-13,-9.0,40.0,-13.0,-18.0,-9.0,5.0
28,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-14,-17.0,23.0,1.0,-23.0,-3.0,4.0
29,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-15,-20.0,11.0,38.0,-25.0,-10.0,4.0
30,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-16,-23.0,19.0,-4.0,-45.0,-37.0,13.0
31,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-17,-39.0,7.0,-4.0,-54.0,-46.0,17.0
32,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-18,-45.0,-5.0,-12.0,-58.0,-52.0,21.0
33,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-19,-48.0,-4.0,-3.0,-61.0,-54.0,22.0
34,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-20,-53.0,-12.0,-17.0,-62.0,-57.0,24.0
35,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-21,-56.0,-16.0,16.0,-56.0,-39.0,14.0
36,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-22,-60.0,-27.0,-10.0,-60.0,-43.0,12.0
37,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-23,-56.0,-22.0,-52.0,-69.0,-62.0,25.0
38,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-24,-56.0,-18.0,-11.0,-69.0,-63.0,25.0
39,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-25,-62.0,-29.0,-5.0,-72.0,-67.0,28.0
40,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-26,-63.0,-28.0,-20.0,-72.0,-67.0,29.0
41,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-27,-62.0,-27.0,1.0,-70.0,-67.0,29.0
42,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-28,-67.0,-34.0,-43.0,-68.0,-51.0,18.0
43,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-29,-66.0,-38.0,-10.0,-66.0,-51.0,14.0
44,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-30,-64.0,-35.0,-46.0,-74.0,-69.0,28.0
45,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-03-31,-61.0,-27.0,-41.0,-72.0,-69.0,27.0
46,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-04-01,-60.0,-28.0,-9.0,-72.0,-69.0,28.0
47,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-04-02,-61.0,-27.0,-11.0,-73.0,-68.0,29.0
48,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-04-03,-64.0,-30.0,-40.0,-73.0,-68.0,30.0
49,CA,Canada,Ontario,Toronto Division,,,,ChIJ5b2RG4_L1IkRDtQ2gFEjLv4,2020-04-04,-65.0,-32.0,-29.0,-67.0,-51.0,18.0
